iter	Logloss
0	0.6773828382
1	0.6608706571
2	0.643614742
3	0.6259284193
4	0.6112968059
5	0.5999883821
6	0.5863364876
7	0.5772168371
8	0.5651707247
9	0.5545664471
10	0.5445738043
11	0.5349119916
12	0.5243610649
13	0.5158533933
14	0.5098365762
15	0.5026466596
16	0.494768939
17	0.4874677771
18	0.4793978168
19	0.4724111961
20	0.4681877565
21	0.4625819383
22	0.4577497644
23	0.4540332855
24	0.4488831278
25	0.4433650694
26	0.4379130103
27	0.4339552005
28	0.4277640763
29	0.4234178891
30	0.4183964399
31	0.4141654123
32	0.408487984
33	0.4042334684
34	0.3994467973
35	0.3947986427
36	0.390696228
37	0.3875513017
38	0.3859637852
39	0.3825798348
40	0.3811555662
41	0.3783759677
42	0.376154133
43	0.3728852284
44	0.369609858
45	0.3679416097
46	0.3652355245
47	0.3623890471
48	0.3596949097
49	0.3565569832
50	0.3545172832
51	0.352943995
52	0.3508650623
53	0.3473664773
54	0.3449959959
55	0.3430238642
56	0.3409090543
57	0.3384682434
58	0.3375499741
59	0.335697505
60	0.3348395442
61	0.3333063861
62	0.3314505291
63	0.3298466689
64	0.3277738741
65	0.3265148546
66	0.3252975746
67	0.3239761941
68	0.3220785302
69	0.3213007203
70	0.3190671296
71	0.3172509822
72	0.3164971291
73	0.3153354971
74	0.3136991848
75	0.312331645
76	0.3113200703
77	0.3092251583
78	0.3086080447
79	0.3074145537
80	0.3058975045
81	0.3056604365
82	0.304005326
83	0.3028041835
84	0.3024255665
85	0.3014202111
86	0.3012932504
87	0.3003112757
88	0.2988119597
89	0.2981844315
90	0.2974097603
91	0.2963907017
92	0.2957752366
93	0.2947240889
94	0.2935238327
95	0.2925089861
96	0.2915438724
97	0.2912450499
98	0.2899605017
99	0.2887908248
100	0.2878508105
101	0.2871155871
102	0.2857910581
103	0.2850573571
104	0.284063639
105	0.282553195
106	0.2823349871
107	0.2812896458
108	0.2800150442
109	0.2790236513
110	0.2784234572
111	0.2773193068
112	0.2768514577
113	0.2759990852
114	0.2755541057
115	0.2746697696
116	0.2735908218
117	0.2732579802
118	0.2728748715
